Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1981-82,8,Hércules CF,3–1,0–1,2–2,3–1,2–1,2–2,2–0,,3–0,1–2,3–4,0–1,2–0,0–1,1–0,2–2,0–2,0–1,,,,,15,34,11,7,16,40,0.3235294117647059,0.47058823529411764,0.39215686274509803
1981-82,9,UD Las Palmas,2–1,1–2,2–1,3–1,2–0,1–3,2–0,2–0,,0–0,1–1,1–0,0–0,3–1,1–1,3–0,1–1,2–4,,,,,10,34,14,6,14,48,0.4117647058823529,0.4117647058823529,0.47058823529411764
1981-82,10,Osasuna,0–2,0–1,3–2,0–1,6–1,4–1,3–0,3–1,1–3,,2–1,3–2,0–0,1–0,1–1,2–1,1–1,1–0,,,,,12,34,12,8,14,44,0.35294117647058826,0.4117647058823529,0.43137254901960786
1981-82,11,Racing de Santander,1–3,1–0,0–1,2–1,2–1,4–1,2–1,2–0,3–1,0–3,,3–2,2–3,3–0,1–0,1–1,3–0,0–1,,,,,6,34,15,6,13,51,0.4411764705882353,0.38235294117647056,0.5
1981-82,12,Real Madrid,1–1,2–1,3–1,4–1,2–0,4–0,1–1,2–1,2–1,1–0,4–0,,1–1,2–1,1–1,3–0,3–1,3–0,,,,,3,34,18,8,8,62,0.5294117647058824,0.23529411764705882,0.6078431372549019
1981-82,13,Real Sociedad,2–1,1–0,1–1,1–0,3–0,3–1,2–1,2–1,2–0,1–0,1–1,3–1,,1–0,3–0,4–1,4–0,3–0,,,,,1,34,20,7,7,67,0.5882352941176471,0.20588235294117646,0.6568627450980392
1981-82,14,Sevilla FC,1–0,1–0,2–1,1–1,3–1,4–0,4–1,0–1,0–0,2–3,4–0,0–0,2–2,,0–0,2–0,4–2,5–0,,,,,7,34,15,5,14,50,0.4411764705882353,0.4117647058823529,0.49019607843137253
1981-82,15,Sporting de Gijón,1–3,3–2,0–0,1–0,2–1,1–0,4–1,1–1,4–0,2–0,2–0,0–1,2–3,0–2,,1–0,2–2,1–2,,,,,14,34,10,9,15,39,0.29411764705882354,0.4411764705882353,0.38235294117647056
1981-82,16,Valencia CF,4–0,1–0,3–0,2–1,1–0,1–0,1–1,2–0,3–2,4–1,3–0,2–1,1–2,3–2,1–0,,3–0,2–1,,,,,5,34,17,5,12,56,0.5,0.35294117647058826,0.5490196078431373
1981-82,17,Valladolid,1–0,2–1,2–3,3–0,2–0,2–0,2–4,1–0,1–0,2–0,0–0,0–0,2–1,2–1,2–1,1–1,,2–1,,,,,9,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1981-82,18,Zaragoza,1–0,2–2,2–2,3–3,2–1,3–2,2–2,2–2,1–0,1–1,1–0,2–2,3–2,1–4,1–1,2–0,2–1,,,,,,11,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1980-81,1,AD Almería,,1–1,2–1,2–5,0–2,2–0,0–3,0–1,0–0,1–1,1–2,3–2,3–2,0–0,1–1,1–0,1–1,3–1,,,,,18,34,6,7,21,25,0.17647058823529413,0.6176470588235294,0.24509803921568626
1980-81,2,Athletic Bilbao,5–1,,3–1,4–1,2–0,1–2,5–3,1–3,3–0,1–1,1–1,0–2,6–1,3–0,1–1,4–0,4–1,0–1,,,,,9,34,14,7,13,49,0.4117647058823529,0.38235294117647056,0.4803921568627451
1980-81,3,Atlético Madrid,2–1,2–1,,1–0,0–4,1–0,1–0,2–2,2–1,0–0,3–1,2–0,1–1,2–0,0–0,3–1,5–2,1–2,,,,,3,34,17,8,9,59,0.5,0.2647058823529412,0.5784313725490197
1980-81,4,FC Barcelona,6–0,0–1,4–2,,1–3,3–1,6–0,1–0,1–0,6–0,2–1,2–0,3–0,3–1,3–1,0–3,2–1,0–0,,,,,5,34,18,5,11,59,0.5294117647058824,0.3235294117647059,0.5784313725490197
1980-81,5,Betis,2–0,2–0,0–1,1–1,,1–2,2–0,4–1,1–0,1–1,1–1,1–0,5–0,2–0,2–0,1–1,2–2,2–0,,,,,10,34,14,6,14,48,0.4117647058823529,0.4117647058823529,0.47058823529411764
1980-81,6,RCD Español,1–0,1–0,2–0,1–0,1–2,,2–1,3–1,2–1,0–0,2–1,0–0,2–1,2–2,1–0,1–2,0–0,1–1,,,,,13,34,10,10,14,40,0.29411764705882354,0.4117647058823529,0.39215686274509803
1980-81,7,Hércules CF,1–0,1–2,1–2,0–1,0–1,2–0,,2–3,1–0,0–0,1–2,2–0,3–2,5–1,1–1,1–1,1–1,1–1,,,,,15,34,12,4,18,40,0.35294117647058826,0.5294117647058824,0.39215686274509803
1980-81,8,UD Las Palmas,3–0,1–3,1–1,1–4,2–4,2–0,1–1,,1–2,2–0,1–0,0–3,1–1,1–2,3–1,1–4,0–2,3–0,,,,,16,34,8,7,19,31,0.23529411764705882,0.5588235294117647,0.30392156862745096
1980-81,9,Murcia,2–1,5–4,0–2,1–2,2–0,1–1,2–2,1–2,,1–0,1–1,0–2,1–1,0–0,2–1,0–2,0–0,0–1,,,,,11,34,12,8,14,44,0.35294117647058826,0.4117647058823529,0.43137254901960786
1980-81,10,Osasuna,2–1,2–0,0–0,1–0,1–2,1–0,1–2,1–0,3–1,,1–2,0–3,1–1,2–1,3–0,2–0,2–0,1–0,,,,,6,34,17,6,11,57,0.5,0.3235294117647059,0.5588235294117647
1980-81,11,Real Madrid,4–0,7–1,2–0,3–0,4–2,1–2,3–0,3–0,4–0,3–1,,1–0,2–0,3–2,1–0,2–1,1–1,2–0,,,,,2,34,20,5,9,65,0.5882352941176471,0.2647058823529412,0.6372549019607843
1980-81,12,Real Sociedad,3–1,4–1,2–2,2–0,2–2,2–1,1–1,2–0,1–0,2–1,3–1,,1–0,3–0,1–2,2–1,1–0,1–0,,,,,1,34,19,7,8,64,0.5588235294117647,0.23529411764705882,0.6274509803921569
1980-81,13,UD Salamanca,2–1,3–2,1–1,2–1,2–0,3–2,0–1,0–2,0–3,1–2,1–3,0–2,,0–0,2–2,0–1,2–1,3–1,,,,,17,34,7,7,20,28,0.20588235294117646,0.5882352941176471,0.27450980392156865
1980-81,14,Sevilla FC,1–0,2–0,1–1,1–1,2–1,2–0,0–0,3–2,1–0,1–0,2–0,0–0,1–0,,3–2,1–0,1–0,0–0,,,,,8,34,14,9,11,51,0.4117647058823529,0.3235294117647059,0.5
1980-81,15,Sporting de Gijón,5–2,1–1,3–0,2–1,2–0,0–1,3–1,2–1,2–0,5–1,4–0,2–2,4–0,3–0,,0–0,4–1,1–1,,,,,7,34,14,10,10,52,0.4117647058823529,0.29411764705882354,0.5098039215686274
1980-81,16,Valencia CF,3–1,0–0,1–1,3–3,3–1,3–1,0–2,3–1,3–2,4–1,2–1,3–2,3–0,2–0,3–1,,2–2,3–0,,,,,4,34,16,10,8,58,0.47058823529411764,0.23529411764705882,0.5686274509803921
1980-81,17,Valladolid,0–0,0–0,0–2,1–1,2–1,3–1,2–1,3–1,1–0,2–1,1–3,0–0,3–0,2–3,1–2,2–0,,1–1,,,,,12,34,9,13,12,40,0.2647058823529412,0.35294117647058826,0.39215686274509803
1980-81,18,Zaragoza,1–0,2–3,0–1,1–2,2–0,2–1,1–1,2–3,1–6,3–1,0–0,0–1,2–0,2–0,0–0,1–1,1–1,,,,,,14,34,9,11,14,38,0.2647058823529412,0.4117647058823529,0.37254901960784315
1979-80,1,AD Almería,,4–2,2–1,1–1,1–1,2–0,1–1,2–0,3–0,3–2,3–3,1–1,0–0,2–0,2–2,0–0,1–0,1–0,,,,,10,34,11,11,12,44,0.3235294117647059,0.35294117647058826,0.43137254901960786
1979-80,2,Athletic Bilbao,3–0,,2–1,2–1,2–2,1–0,2–0,2–1,3–0,3–1,4–1,3–0,0–1,2–0,4–3,2–3,4–0,3–1,,,,,7,34,15,5,14,50,0.4411764705882353,0.4117647058823529,0.49019607843137253
1979-80,3,Atlético Madrid,4–1,0–1,,2–1,3–1,1–0,1–1,2–1,0–0,0–0,2–1,1–1,1–1,0–1,3–2,1–3,0–1,3–0,,,,,13,34,10,11,13,41,0.29411764705882354,0.38235294117647056,0.4019607843137255
1979-80,4,FC Barcelona,2–0,1–0,1–0,,5–0,1–0,3–1,2–0,1–0,3–0,2–1,0–2,0–0,0–0,0–0,0–0,2–1,2–0,,,,,4,34,13,12,9,51,0.38235294117647056,0.2647058823529412,0.5
1979-80,5,Betis,0–0,0–0,0–0,2–1,,3–1,2–0,2–0,3–0,2–1,1–2,2–3,1–1,2–0,4–0,1–0,3–0,1–0,,,,,17,34,5,10,19,25,0.14705882352941177,0.5588235294117647,0.24509803921568626
1979-80,6,Burgos,2–1,1–1,1–1,0–0,1–1,,0–0,1–1,2–2,1–0,1–1,1–2,1–3,2–0,1–0,0–3,1–1,0–1,,,,,14,34,9,12,13,39,0.2647058823529412,0.38235294117647056,0.38235294117647056
1979-80,7,RCD Español,5–2,0–0,0–1,2–0,0–0,1–0,,0–0,0–1,1–1,1–0,0–0,1–2,1–1,1–0,1–0,1–1,2–0,,,,,15,34,8,12,14,36,0.23529411764705882,0.4117647058823529,0.35294117647058826
1979-80,8,Hércules CF,4–0,2–1,2–3,1–1,1–1,3–0,0–1,,1–0,1–0,2–2,0–0,0–0,4–0,0–1,1–1,1–1,3–1,,,,,12,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1979-80,9,UD Las Palmas,3–2,1–1,4–2,0–1,1–0,2–1,1–0,2–1,,1–1,3–0,1–2,2–2,1–0,2–0,4–2,2–1,0–0,,,,,18,34,8,6,20,30,0.23529411764705882,0.5882352941176471,0.29411764705882354
1979-80,10,CD Málaga,0–1[a],1–0,1–0,0–0,1–0,3–1,1–2,0–2,1–0,,1–3,1–4,0–0,–[b],2–1,0–3,2–1,1–1,,,,,16,34,9,8,17,35,0.2647058823529412,0.5,0.3431372549019608
1979-80,11,Rayo Vallecano,1–2,2–1,4–1,0–0,0–1,5–2,2–2,2–1,1–0,5–1,,1–2,1–1,1–2,1–1,1–2,1–0,0–1,,,,,5,34,12,12,10,48,0.35294117647058826,0.29411764705882354,0.47058823529411764
1979-80,12,Real Madrid,4–1,3–1,4–0,3–2,1–1,2–1,2–0,5–0,3–1,2–1,7–0,,2–2,2–0,2–0,1–0,3–1,3–2,,,,,1,34,22,9,3,75,0.6470588235294118,0.08823529411764706,0.7352941176470589
1979-80,13,Real Sociedad,1–0,4–0,2–0,4–3,0–0,2–2,1–0,1–1,1–0,3–1,4–0,4–0,,1–0,2–0,4–1,0–0,2–1,,,,,2,34,19,14,1,71,0.5588235294117647,0.029411764705882353,0.696078431372549
1979-80,14,UD Salamanca,2–1,2–1,1–1,1–1,3–0,1–3,2–0,2–1,2–0,3–0,3–0,1–1,0–1,,2–1,0–1,1–1,0–1,,,,,9,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1979-80,15,Sevilla FC,3–1,3–1,2–2,3–1,2–1,6–1,2–1,2–1,0–1,3–1,1–1,1–1,2–1,2–0,,1–0,2–1,2–1,,,,,8,34,14,6,14,48,0.4117647058823529,0.4117647058823529,0.47058823529411764
1979-80,16,Sporting de Gijón,1–0,2–0,0–0,4–1,3–1,2–0,2–0,0–0,4–1,0–1,1–0,1–1,0–1,0–0,2–1,,4–2,1–4,,,,,3,34,16,7,11,55,0.47058823529411764,0.3235294117647059,0.5392156862745098
1979-80,17,Valencia CF,1–1,2–0,2–1,1–1,2–2,3–1,5–1,0–0,4–0,3–1,2–1,2–0,0–0,2–2,2–1,3–1,,3–0,,,,,6,34,12,12,10,48,0.35294117647058826,0.29411764705882354,0.47058823529411764
1979-80,18,Zaragoza,0–0,1–0,0–0,2–2,5–1,5–0,1–1,1–0,4–0,3–1,3–2,0–1,0–2,1–2,1–0,1–0,1–1,,,,,,11,34,13,7,14,46,0.38235294117647056,0.4117647058823529,0.45098039215686275
1978-79,1,Athletic Bilbao,,2–1,3–1,1–2,3–1,1–0,4–1,3–0,4–1,2–0,3–3,1–1,5–3,3–0,2–3,1–1,2–0,2–2,,,,,9,34,12,10,12,46,0.35294117647058826,0.35294117647058826,0.45098039215686275
1978-79,2,Atlético Madrid,4–0,,1–1,1–2,4–0,1–0,3–0,1–1,3–0,0–0,2–2,2–2,1–0,1–0,2–2,0–0,2–1,3–1,,,,,3,34,14,13,7,55,0.4117647058823529,0.20588235294117646,0.5392156862745098
1978-79,3,FC Barcelona,4–3,2–4,,2–0,6–0,2–1,3–0,4–0,1–0,9–0,2–0,1–3,2–0,3–0,1–0,6–0,1–1,5–0,,,,,5,34,16,6,12,54,0.47058823529411764,0.35294117647058826,0.5294117647058824
1978-79,4,Burgos,1–0,0–1,1–0,,1–0,1–0,0–0,1–1,1–0,1–1,2–2,1–1,1–0,1–0,2–2,0–2,1–1,1–1,,,,,13,34,10,12,12,42,0.29411764705882354,0.35294117647058826,0.4117647058823529
1978-79,5,Celta de Vigo,0–0,2–2,2–1,3–2,,0–1,2–1,1–2,2–0,2–1,2–2,1–0,3–2,1–1,1–1,1–1,0–0,5–3,,,,,16,34,9,10,15,37,0.2647058823529412,0.4411764705882353,0.3627450980392157
1978-79,6,RCD Español,1–0,2–1,0–2,1–0,1–1,,2–1,2–1,2–3,2–1,1–1,2–0,1–0,2–1,2–0,1–0,1–0,1–0,,,,,8,34,15,5,14,50,0.4411764705882353,0.4117647058823529,0.49019607843137253
1978-79,7,Hércules CF,0–1,0–0,0–2,1–0,2–0,3–3,,1–0,1–0,4–1,1–2,0–0,2–0,1–0,1–0,1–0,3–0,1–0,,,,,12,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1978-79,8,UD Las Palmas,1–1,1–0,2–1,3–1,0–0,3–0,2–1,,1–2,1–2,2–2,2–0,3–0,4–0,2–1,0–0,2–0,0–0,,,,,6,34,14,9,11,51,0.4117647058823529,0.3235294117647059,0.5
1978-79,9,Racing de Santander,1–1,1–1,2–1,2–2,2–0,0–1,0–2,2–4,,1–0,1–1,1–0,1–0,2–4,2–3,0–2,3–1,3–2,,,,,17,34,9,4,21,31,0.2647058823529412,0.6176470588235294,0.30392156862745096
1978-79,10,Rayo Vallecano,1–0,1–3,1–1,2–2,2–0,2–0,3–0,2–2,2–1,,1–1,0–4,1–1,0–0,1–0,2–1,0–1,1–0,,,,,15,34,9,11,14,38,0.2647058823529412,0.4117647058823529,0.37254901960784315
1978-79,11,Real Madrid,2–1,1–1,3–1,4–1,2–0,0–0,0–0,1–1,5–1,4–1,,2–1,4–0,3–1,1–1,3–2,2–1,2–1,,,,,1,34,16,15,3,63,0.47058823529411764,0.08823529411764706,0.6176470588235294
1978-79,12,Real Sociedad,2–1,0–2,2–0,4–1,1–0,2–1,2–1,2–0,3–0,2–0,0–0,,2–3,3–1,2–1,2–0,1–0,4–1,,,,,4,34,18,5,11,59,0.5294117647058824,0.3235294117647059,0.5784313725490197
1978-79,13,Recreativo de Huelva,3–2,0–1,0–0,1–5,1–2,3–1,3–1,2–4,2–1,0–0,1–2,1–2,,1–2,2–1,1–1,4–3,3–0,,,,,18,34,8,5,21,29,0.23529411764705882,0.6176470588235294,0.28431372549019607
1978-79,14,UD Salamanca,1–0,2–2,1–0,1–1,1–0,2–0,1–0,1–0,1–0,1–1,1–1,1–3,2–0,,3–1,0–0,3–1,3–1,,,,,10,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1978-79,15,Sevilla FC,0–0,1–1,1–1,1–1,1–0,4–3,1–0,0–1,3–1,2–0,2–1,1–0,6–1,2–1,,1–1,0–2,1–0,,,,,11,34,12,9,13,45,0.35294117647058826,0.38235294117647056,0.4411764705882353
1978-79,16,Sporting de Gijón,4–3,4–1,3–1,3–0,2–2,0–0,2–0,3–1,1–0,3–0,0–1,3–2,2–0,1–0,2–0,,2–0,1–0,,,,,2,34,17,9,8,60,0.5,0.23529411764705882,0.5882352941176471
1978-79,17,Valencia CF,0–0,2–0,2–1,1–0,4–0,2–1,0–0,3–1,3–1,1–1,0–1,1–0,1–0,0–0,5–2,4–0,,3–1,,,,,7,34,14,7,13,49,0.4117647058823529,0.38235294117647056,0.4803921568627451
1978-79,18,Zaragoza,1–1,4–3,1–1,4–2,2–1,8–1,1–2,3–1,3–2,2–0,1–0,4–0,1–1,1–0,3–2,1–3,3–0,,,,,,14,34,12,6,16,42,0.35294117647058826,0.47058823529411764,0.4117647058823529
1977-78,1,Athletic Bilbao,,1–0,0–0,0–0,1–1,6–1,4–1,4–0,2–1,2–1,3–0,6–0,2–0,1–0,3–1,2–1,1–0,4–1,,,,,3,34,16,8,10,56,0.47058823529411764,0.29411764705882354,0.5490196078431373
1977-78,2,Atlético Madrid,0–1,,1–0,1–1,2–1,4–0,3–1,2–1,3–1,2–1,3–0,4–0,1–3,2–1,4–2,1–0,5–1,3–0,,,,,6,34,16,4,14,52,0.47058823529411764,0.4117647058823529,0.5098039215686274
1977-78,3,FC Barcelona,3–1,1–0,,1–0,3–0,1–1,5–1,1–1,2–1,5–0,3–0,1–1,2–3,1–0,3–1,3–1,1–0,1–0,,,,,2,34,16,9,9,57,0.47058823529411764,0.2647058823529412,0.5588235294117647
1977-78,4,Betis,2–2,4–3,0–0,,2–1,3–0,4–0,3–1,1–1,1–2,3–1,1–0,4–2,1–0,0–1,3–2,1–1,1–1,,,,,12,34,10,11,13,41,0.29411764705882354,0.38235294117647056,0.4019607843137255
1977-78,5,Burgos,2–2,2–2,1–1,1–0,,2–1,1–0,3–2,0–0,2–1,0–0,2–1,3–2,3–2,0–2,1–0,0–0,2–0,,,,,18,34,7,8,19,29,0.20588235294117646,0.5588235294117647,0.28431372549019607
1977-78,6,Cádiz CF,2–1,2–1,0–2,0–5,4–0,,0–0,2–4,0–0,3–2,0–0,2–1,1–0,2–0,0–1,0–0,1–1,1–2,,,,,17,34,11,5,18,38,0.3235294117647059,0.5294117647058824,0.37254901960784315
1977-78,7,Elche CF,2–1,4–4,1–3,2–1,1–0,1–1,,2–0,2–0,2–0,3–1,3–0,3–1,1–2,2–1,1–2,1–2,0–2,,,,,14,34,12,6,16,42,0.35294117647058826,0.47058823529411764,0.4117647058823529
1977-78,8,RCD Español,2–1,1–3,1–1,2–0,4–1,4–2,3–1,,2–1,0–1,0–1,2–1,1–4,2–0,2–1,2–1,2–1,2–2,,,,,15,34,10,10,14,40,0.29411764705882354,0.4117647058823529,0.39215686274509803
1977-78,9,Hércules CF,1–0,1–0,2–1,2–0,0–0,0–0,0–0,1–1,,1–2,4–0,1–1,2–3,1–0,2–0,2–2,1–0,1–0,,,,,7,34,12,11,11,47,0.35294117647058826,0.3235294117647059,0.46078431372549017
1977-78,10,UD Las Palmas,2–2,3–0,0–0,3–2,0–0,2–1,4–1,4–2,0–1,,3–0,1–1,1–2,1–1,0–0,2–0,2–2,1–0,,,,,13,34,11,9,14,42,0.3235294117647059,0.4117647058823529,0.4117647058823529
1977-78,11,Racing de Santander,1–0,2–0,0–0,1–1,1–1,3–0,2–0,4–0,1–0,1–0,,2–1,1–0,2–2,0–3,1–1,1–0,2–2,,,,,10,34,12,9,13,45,0.35294117647058826,0.38235294117647056,0.4411764705882353
1977-78,12,Rayo Vallecano,3–2,2–0,2–1,4–2,0–0,6–1,0–1,1–1,2–1,1–1,1–0,,3–2,1–0,3–3,4–1,3–1,3–0,,,,,16,34,11,8,15,41,0.3235294117647059,0.4411764705882353,0.4019607843137255
1977-78,13,Real Madrid,1–0,4–2,4–0,4–0,3–0,2–0,5–1,2–1,3–0,1–1,2–0,5–2,,5–0,0–0,3–0,3–2,1–0,,,,,1,34,22,3,9,69,0.6470588235294118,0.2647058823529412,0.6764705882352942
1977-78,14,Real Sociedad,2–1,4–1,1–2,3–0,3–1,6–1,3–2,1–1,0–0,4–1,2–0,1–1,2–3,,2–0,4–0,1–1,1–1,,,,,11,34,12,9,13,45,0.35294117647058826,0.38235294117647056,0.4411764705882353
1977-78,15,UD Salamanca,0–3,0–1,1–0,1–0,2–0,2–1,1–0,1–0,2–0,0–0,3–0,1–0,2–1,0–0,,1–1,2–3,0–1,,,,,9,34,14,6,14,48,0.4117647058823529,0.4117647058823529,0.47058823529411764
1977-78,16,Sevilla FC,0–0,3–0,2–1,1–0,1–0,1–0,3–3,3–1,2–1,1–0,1–0,2–0,1–1,1–1,2–1,,1–2,1–0,,,,,8,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1977-78,17,Sporting de Gijón,2–2,3–2,1–0,4–3,3–2,3–0,3–0,1–0,2–1,0–0,3–1,1–1,0–2,6–2,3–0,1–0,,0–0,,,,,5,34,15,9,10,54,0.4411764705882353,0.29411764705882354,0.5294117647058824
1977-78,18,Valencia CF,3–1,1–1,1–0,4–2,1–0,3–0,4–1,3–0,6–1,0–1,0–0,7–0,2–0,0–1,3–1,3–0,1–0,,,,,,4,34,16,7,11,55,0.47058823529411764,0.3235294117647059,0.5392156862745098
1976-77,1,Athletic Bilbao,,0–1,1–3,1–0,3–0,2–2,1–1,5–2,3–0,2–1,1–1,1–0,4–1,4–2,2–0,4–0,2–1,3–1,,,,,3,34,15,8,11,53,0.4411764705882353,0.3235294117647059,0.5196078431372549
1976-77,2,Atlético Madrid,2–1,,3–1,3–1,0–3,3–0,5–1,1–1,1–0,1–0,2–0,5–1,4–0,5–1,2–1,3–3,2–3,2–0,,,,,1,34,19,8,7,65,0.5588235294117647,0.20588235294117646,0.6372549019607843
1976-77,3,FC Barcelona,0–2,1–1,,3–1,3–0,4–0,4–1,4–2,1–1,4–0,2–1,7–0,3–1,2–1,4–1,3–3,6–1,2–1,,,,,2,34,18,9,7,63,0.5294117647058824,0.20588235294117646,0.6176470588235294
1976-77,4,Betis,2–1,1–0,1–3,,2–1,1–0,1–0,5–1,1–0,2–2,0–1,2–1,2–0,2–1,2–1,0–1,0–0,2–1,,,,,14,34,14,4,16,46,0.4117647058823529,0.47058823529411764,0.45098039215686275
1976-77,5,Burgos,2–2,2–0,1–0,2–1,,1–0,3–1,1–2,1–1,4–1,3–0,1–1,3–2,2–0,0–2,1–0,4–1,2–0,,,,,17,34,9,11,14,38,0.2647058823529412,0.4117647058823529,0.37254901960784315
1976-77,6,Celta de Vigo,0–0,1–0,0–0,0–0,2–1,,1–1,1–0,2–2,1–0,2–1,2–0,2–0,1–0,0–1,0–0,1–0,0–0,,,,,11,34,11,11,12,44,0.3235294117647059,0.35294117647058826,0.43137254901960786
1976-77,7,Elche CF,2–1,0–1,0–0,2–0,0–0,1–1,,4–1,2–1,2–2,3–0,4–1,1–1,2–0,1–0,3–0,1–4,2–0,,,,,6,34,14,8,12,50,0.4117647058823529,0.35294117647058826,0.49019607843137253
1976-77,8,RCD Español,4–0,1–4,2–3,1–1,2–1,2–0,2–0,,3–0,2–0,5–1,2–1,4–1,1–0,4–0,0–0,3–0,2–0,,,,,13,34,11,10,13,43,0.3235294117647059,0.38235294117647056,0.4215686274509804
1976-77,9,Hércules CF,0–0,2–1,2–2,1–0,3–0,2–1,1–1,2–0,,2–1,1–0,2–0,0–1,2–0,4–2,0–0,2–1,1–1,,,,,4,34,15,6,13,51,0.4411764705882353,0.38235294117647056,0.5
1976-77,10,UD Las Palmas,2–1,1–1,2–1,1–1,4–1,5–1,0–0,5–0,1–0,,2–1,4–1,4–2,2–0,2–0,4–2,2–1,1–4,,,,,18,34,6,6,22,24,0.17647058823529413,0.6470588235294118,0.23529411764705882
1976-77,11,CD Málaga,0–3,0–0,1–0,0–1,1–2,1–1,2–3,1–1,1–1,0–2,,1–2,2–1,2–1,1–0,0–0,0–1,2–1,,,,,15,34,12,7,15,43,0.35294117647058826,0.4411764705882353,0.4215686274509804
1976-77,12,Racing de Santander,1–1,0–0,1–0,4–3,1–0,1–0,2–1,2–2,1–1,2–1,3–2,,3–3,2–1,0–1,2–0,2–2,1–0,,,,,5,34,15,6,13,51,0.4411764705882353,0.38235294117647056,0.5
1976-77,13,Real Madrid,2–3,1–1,1–1,0–1,1–0,0–0,5–2,4–1,4–0,3–0,4–1,3–1,,2–2,0–1,0–0,2–0,4–2,,,,,9,34,12,10,12,46,0.35294117647058826,0.35294117647058826,0.45098039215686275
1976-77,14,Real Sociedad,5–0,2–0,0–0,3–0,4–1,4–0,0–0,3–3,3–0,4–0,1–0,3–1,1–1,,1–0,2–1,2–2,2–0,,,,,8,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1976-77,15,UD Salamanca,3–0,1–1,2–0,0–1,3–1,2–0,1–0,2–1,1–0,0–0,3–0,0–1,0–1,1–1,,1–0,0–0,0–0,,,,,12,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1976-77,16,Sevilla FC,1–0,1–2,0–1,3–2,2–0,2–0,0–0,0–0,1–0,2–1,2–1,1–0,1–1,0–3,2–0,,0–0,4–1,,,,,10,34,11,12,11,45,0.3235294117647059,0.3235294117647059,0.4411764705882353
1976-77,17,Valencia CF,2–0,2–3,0–1,2–2,3–1,2–0,1–0,4–1,3–1,1–2,3–1,4–2,1–1,1–0,0–0,4–0,,1–1,,,,,7,34,13,10,11,49,0.38235294117647056,0.3235294117647059,0.4803921568627451
1976-77,18,Zaragoza,1–1,0–2,0–0,2–1,2–1,1–0,5–3,3–3,1–0,2–1,3–1,2–0,2–4,1–1,2–0,0–0,2–2,,,,,,16,34,10,10,14,40,0.29411764705882354,0.4117647058823529,0.39215686274509803
1975-76,1,Atlético Bilbao,,2–0,2–1,0–0,0–0,2–1,2–1,1–0,1–0,1–0,2–0,1–0,2–0,1–0,4–1,2–1,5–4,0–0,,,,,5,34,14,11,9,53,0.4117647058823529,0.2647058823529412,0.5196078431372549
1975-76,2,Atlético Madrid,2–0,,3–0,4–0,3–0,3–1,3–2,3–0,2–1,1–1,1–0,3–1,2–2,4–1,1–0,2–2,1–0,2–0,,,,,3,34,18,6,10,60,0.5294117647058824,0.29411764705882354,0.5882352941176471
1975-76,3,FC Barcelona,2–1,2–1,,3–1,1–0,5–0,3–0,1–1,3–0,2–1,2–1,2–0,2–0,3–1,2–0,5–1,1–1,2–1,,,,,2,34,18,7,9,61,0.5294117647058824,0.2647058823529412,0.5980392156862745
1975-76,4,Betis,0–0,1–3,1–0,,2–0,1–2,4–1,1–0,1–0,3–0,0–2,2–1,1–0,1–1,1–0,1–0,2–1,1–0,,,,,15,34,8,12,14,36,0.23529411764705882,0.4117647058823529,0.35294117647058826
1975-76,5,Elche CF,3–1,3–1,2–3,2–3,,2–1,0–0,1–1,1–1,5–2,1–1,1–0,1–1,1–1,2–0,1–0,2–0,0–0,,,,,4,34,18,4,12,58,0.5294117647058824,0.35294117647058826,0.5686274509803921
1975-76,6,RCD Español,3–1,1–0,3–0,2–1,2–0,,3–0,3–1,1–0,2–1,0–1,3–1,2–2,3–0,1–0,2–1,1–0,2–1,,,,,17,34,8,10,16,34,0.23529411764705882,0.47058823529411764,0.3333333333333333
1975-76,7,Granada CF,2–1,3–4,0–2,0–0,3–2,0–1,,0–0,1–0,2–0,1–2,1–0,2–1,0–0,1–1,1–1,2–1,0–0,,,,,6,34,12,12,10,48,0.35294117647058826,0.29411764705882354,0.47058823529411764
1975-76,8,Hércules CF,2–2,1–1,0–0,1–1,1–0,2–1,2–0,,1–0,2–1,1–2,1–0,0–0,1–0,1–0,1–1,2–0,2–0,,,,,13,34,12,6,16,42,0.35294117647058826,0.47058823529411764,0.4117647058823529
1975-76,9,UD Las Palmas,2–2,2–0,3–1,3–0,0–0,1–1,1–2,2–1,,5–0,2–2,0–0,2–1,1–0,0–1,2–1,2–4,3–2,,,,,16,34,11,5,18,38,0.3235294117647059,0.5294117647058824,0.37254901960784315
